row_index,profile,run_role,material,source_id,thickness_mm,random_seed,returncode,elapsed_seconds,config_path,output_prefix
58,v3_hm_smoke,material,Magnetite,mono_70kev,5.0,1201,0,3.092,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_70kev_5mm_seed1201.txt,ms_v3_hm_smoke_magnetite_mono_70kev_5mm_seed1201
59,v3_hm_smoke,material,Magnetite,mono_70kev,5.0,1301,0,2.890,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_70kev_5mm_seed1301.txt,ms_v3_hm_smoke_magnetite_mono_70kev_5mm_seed1301
60,v3_hm_smoke,material,Magnetite,mono_110kev,5.0,1201,0,2.842,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_110kev_5mm_seed1201.txt,ms_v3_hm_smoke_magnetite_mono_110kev_5mm_seed1201
61,v3_hm_smoke,material,Magnetite,mono_110kev,5.0,1301,0,2.895,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_110kev_5mm_seed1301.txt,ms_v3_hm_smoke_magnetite_mono_110kev_5mm_seed1301
62,v3_hm_smoke,material,Magnetite,mono_200kev,5.0,1201,0,2.688,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_200kev_5mm_seed1201.txt,ms_v3_hm_smoke_magnetite_mono_200kev_5mm_seed1201
63,v3_hm_smoke,material,Magnetite,mono_200kev,5.0,1301,0,2.939,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_200kev_5mm_seed1301.txt,ms_v3_hm_smoke_magnetite_mono_200kev_5mm_seed1301
64,v3_hm_smoke,material,Magnetite,mono_40kev,10.0,1201,0,2.613,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_40kev_10mm_seed1201.txt,ms_v3_hm_smoke_magnetite_mono_40kev_10mm_seed1201
65,v3_hm_smoke,material,Magnetite,mono_40kev,10.0,1301,0,2.995,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_40kev_10mm_seed1301.txt,ms_v3_hm_smoke_magnetite_mono_40kev_10mm_seed1301
66,v3_hm_smoke,material,Magnetite,mono_70kev,10.0,1201,0,2.768,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_70kev_10mm_seed1201.txt,ms_v3_hm_smoke_magnetite_mono_70kev_10mm_seed1201
67,v3_hm_smoke,material,Magnetite,mono_70kev,10.0,1301,0,2.881,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_70kev_10mm_seed1301.txt,ms_v3_hm_smoke_magnetite_mono_70kev_10mm_seed1301
68,v3_hm_smoke,material,Magnetite,mono_110kev,10.0,1201,0,2.742,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_110kev_10mm_seed1201.txt,ms_v3_hm_smoke_magnetite_mono_110kev_10mm_seed1201
69,v3_hm_smoke,material,Magnetite,mono_110kev,10.0,1301,0,2.893,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_110kev_10mm_seed1301.txt,ms_v3_hm_smoke_magnetite_mono_110kev_10mm_seed1301
70,v3_hm_smoke,material,Magnetite,mono_200kev,10.0,1201,0,2.901,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_200kev_10mm_seed1201.txt,ms_v3_hm_smoke_magnetite_mono_200kev_10mm_seed1201
71,v3_hm_smoke,material,Magnetite,mono_200kev,10.0,1301,0,2.666,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_200kev_10mm_seed1301.txt,ms_v3_hm_smoke_magnetite_mono_200kev_10mm_seed1301
72,v3_hm_smoke,material,Magnetite,mono_40kev,20.0,1201,0,2.484,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_magnetite_mono_40kev_20mm_seed1201.txt,ms_v3_hm_smoke_magnetite_mono_40kev_20mm_seed1201
