split,physical_perturbation_profile,seed_block,material,peak_sum_hematite,peak_sum_magnetite,peak_sum_ilmenite,peak_sum_goethite,peak_sum_siderite,peak_sum_rutile,diffraction_window_hematite_unique_sum,diffraction_window_magnetite_unique_sum,diffraction_window_all_peaks_sum,hematite_minus_ilmenite_peak_sum,magnetite_minus_ilmenite_peak_sum
train,calibration_shift_train_pos,tr_scale_002,Ilmenite,0.45899999999999996,0.29325,0.47424999999999995,0.50725,0.364,0.29337499999999994,0.0,0.000875,0.67625,-0.015249999999999986,-0.18099999999999994
train,calibration_shift_train_pos,tr_scale_002,Magnetite,0.377,0.5095000000000001,0.33787500000000004,0.532125,0.199125,0.39449999999999996,0.0,0.01825,0.6545,0.039124999999999965,0.17162500000000003
train,calibration_shift_train_pos,tr_scale_002,Rutile,0.27975,0.30224999999999996,0.2759999999999999,0.3775,0.258375,0.508,0.0,0.00025,0.66625,0.0037500000000000866,0.02625000000000005
train,calibration_shift_train_pos,tr_scale_002,Siderite,0.3319999999999999,0.226875,0.37124999999999997,0.3661249999999999,0.5058750000000001,0.248,0.0,0.000375,0.679,-0.03925000000000006,-0.14437499999999998
train,calibration_shift_train_pos,tr_scale_003,Goethite,0.286125,0.29400000000000004,0.277875,0.5867499999999999,0.24225000000000002,0.24200000000000002,0.0,0.0,0.649375,0.008250000000000035,0.016125000000000056
train,calibration_shift_train_pos,tr_scale_003,Hematite,0.47762499999999997,0.33525,0.4427500000000001,0.5512499999999999,0.31525000000000003,0.30424999999999996,0.0,0.00575,0.66075,0.03487499999999988,-0.1075000000000001
train,calibration_shift_train_pos,tr_scale_003,Ilmenite,0.4558749999999999,0.30225,0.465125,0.49187500000000006,0.376375,0.277,0.0,0.002,0.663875,-0.009250000000000091,-0.162875
train,calibration_shift_train_pos,tr_scale_003,Magnetite,0.39212499999999995,0.50675,0.3595,0.528125,0.19487500000000002,0.389625,0.0,0.014374999999999999,0.6399999999999999,0.03262499999999996,0.14725000000000005
train,calibration_shift_train_pos,tr_scale_003,Rutile,0.283625,0.30300000000000005,0.26999999999999996,0.37587499999999996,0.24212500000000003,0.49912499999999993,0.0,0.0015,0.655,0.013625000000000054,0.033000000000000085
train,calibration_shift_train_pos,tr_scale_003,Siderite,0.32162499999999994,0.208375,0.379125,0.35675,0.5103749999999999,0.21437500000000004,0.0,0.000875,0.667875,-0.05750000000000005,-0.17074999999999999
train,combined_train_moderate,tr_scale_001,Goethite,0.238,0.2365,0.24312499999999998,0.39412499999999995,0.23137500000000003,0.214625,0.0,0.000375,0.5815,-0.005124999999999991,-0.006624999999999992
train,combined_train_moderate,tr_scale_001,Hematite,0.3122499999999999,0.26499999999999996,0.3026249999999999,0.384,0.279625,0.27825,0.0,0.005,0.588625,0.009624999999999995,-0.037624999999999964
train,combined_train_moderate,tr_scale_001,Ilmenite,0.300125,0.27424999999999994,0.3071249999999999,0.36487500000000006,0.28525,0.257625,0.0,0.00425,0.594625,-0.006999999999999951,-0.03287499999999999
train,combined_train_moderate,tr_scale_001,Magnetite,0.28800000000000003,0.281875,0.275625,0.365375,0.243875,0.29187499999999994,0.0,0.009375,0.573375,0.012375000000000025,0.006249999999999978
