method,eval_split,physical_perturbation_profile,actual,predicted,count,rate
LogisticMulticlassMain,stress_holdout,source_energy_scale_stress_low,Pyrite,Pyrite,8,1.0
LogisticMulticlassMain,stress_holdout,source_energy_scale_stress_low,Quartz,Quartz,8,1.0
LogisticMulticlassMain,validation,calibration_shift_validation_mid,Albite,Albite,8,1.0
LogisticMulticlassMain,validation,calibration_shift_validation_mid,Calcite,Calcite,8,1.0
LogisticMulticlassMain,validation,calibration_shift_validation_mid,Chalcopyrite,Chalcopyrite,8,1.0
LogisticMulticlassMain,validation,calibration_shift_validation_mid,Dolomite,Dolomite,8,1.0
LogisticMulticlassMain,validation,calibration_shift_validation_mid,Galena,Galena,8,1.0
LogisticMulticlassMain,validation,calibration_shift_validation_mid,Hematite,Hematite,8,1.0
LogisticMulticlassMain,validation,calibration_shift_validation_mid,Magnetite,Magnetite,8,1.0
LogisticMulticlassMain,validation,calibration_shift_validation_mid,Orthoclase,Orthoclase,8,1.0
LogisticMulticlassMain,validation,calibration_shift_validation_mid,Pyrite,Pyrite,8,1.0
LogisticMulticlassMain,validation,calibration_shift_validation_mid,Quartz,Quartz,8,1.0
LogisticMulticlassMain,validation,combined_validation_mid,Albite,Albite,8,1.0
LogisticMulticlassMain,validation,combined_validation_mid,Calcite,Calcite,8,1.0
LogisticMulticlassMain,validation,combined_validation_mid,Chalcopyrite,Chalcopyrite,8,1.0
LogisticMulticlassMain,validation,combined_validation_mid,Dolomite,Dolomite,8,1.0
LogisticMulticlassMain,validation,combined_validation_mid,Galena,Galena,8,1.0
LogisticMulticlassMain,validation,combined_validation_mid,Hematite,Hematite,8,1.0
LogisticMulticlassMain,validation,combined_validation_mid,Magnetite,Magnetite,8,1.0
LogisticMulticlassMain,validation,combined_validation_mid,Orthoclase,Orthoclase,8,1.0
LogisticMulticlassMain,validation,combined_validation_mid,Pyrite,Pyrite,8,1.0
LogisticMulticlassMain,validation,combined_validation_mid,Quartz,Quartz,8,1.0
LogisticMulticlassMain,validation,nominal,Albite,Albite,8,1.0
LogisticMulticlassMain,validation,nominal,Calcite,Calcite,8,1.0
LogisticMulticlassMain,validation,nominal,Chalcopyrite,Chalcopyrite,8,1.0
